TE,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fantasy Points (Half-PPR),Fantasy Points (PPR),TE Premium,Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Hunter Henry,NE,11.0,80.45,55.03,630.08,5.14,0.0,0.0,0.0,121.36,148.88,176.39,1.19,0.28,0.0,8.78
Brenton Strange,JAC,7.0,83.98,57.67,620.68,4.08,0.0,0.0,0.0,115.38,144.22,173.05,1.16,0.27,0.0,8.21
Dalton Schultz,HOU,8.0,85.06,62.59,605.86,3.1,0.0,0.0,0.0,110.48,141.78,173.07,1.11,0.25,0.0,7.72
T.J. Hockenson,MIN,6.0,84.33,62.49,568.11,3.3,0.2,0.43,0.0,107.9,139.14,170.39,0.99,0.21,0.0,6.81
Kenyon Sadiq,NYJ,13.0,79.34,56.68,566.99,4.03,0.7,2.3,0.01,109.51,137.85,166.19,0.99,0.22,0.0,7.25
Chig Okonkwo,WAS,7.0,77.66,55.81,578.67,3.21,0.0,0.0,0.0,105.03,132.94,160.84,1.02,0.22,0.0,7.71
Oronde Gadsden,LAC,7.0,71.82,48.75,606.64,3.67,0.0,0.14,0.0,107.07,131.45,155.82,1.11,0.25,0.0,8.98
AJ Barner,SEA,11.0,65.8,47.3,472.06,4.83,6.65,10.49,0.45,103.59,127.23,150.88,0.71,0.14,0.0,6.06
Cade Otton,TB,10.0,75.13,54.43,537.51,3.02,0.0,0.0,0.0,99.09,126.3,153.52,0.88,0.19,0.0,6.88
Pat Freiermuth,PIT,9.0,66.76,49.33,517.79,4.06,0.0,0.57,0.03,101.04,125.71,150.37,0.82,0.17,0.0,7.16
Greg Dulcich,MIA,6.0,70.52,49.97,553.26,2.96,0.0,-1.21,0.0,97.95,122.94,147.92,0.93,0.2,0.0,7.72
Gunnar Helm,TEN,9.0,70.04,50.93,463.67,3.33,0.0,0.14,0.0,91.83,117.29,142.76,0.66,0.13,0.0,5.45
Mike Gesicki,CIN,6.0,58.49,40.74,425.32,3.34,0.0,0.0,0.0,82.94,103.31,123.68,0.55,0.1,0.0,5.53
Evan Engram,DEN,10.0,65.97,47.57,423.08,2.11,0.0,0.71,0.0,78.82,102.61,126.39,0.54,0.1,0.0,4.78
David Njoku,LAC,7.0,50.2,39.27,392.93,3.56,0.0,0.0,0.0,80.29,99.92,119.56,0.46,0.08,0.0,5.47
Colby Parkinson,LAR,11.0,49.85,36.37,374.97,4.18,0.0,0.0,0.0,80.76,98.95,117.13,0.41,0.07,0.0,5.04
