Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"CeeDee Lamb",DAL,"WR",19202,,"Dak Prescott",DAL,"QB",15600,,"Ashton Jeanty",LV,"RB",25989,,"Chris Olave",NO,"WR",20111,,"Dalton Kincaid",BUF,"TE",25247,,"Indianapolis Colts",IND,"DST",8130,,"CeeDee Lamb",DAL,"WR",19202,,"Will Reichard",MIN,"K",26341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saquon Barkley",PHI,"RB",17240,,"Bo Nix",DEN,"QB",22910,,"De'Von Achane",MIA,"RB",23136,,"Malik Nabers",NYG,"WR",25409,,"Dallas Goedert",PHI,"TE",17270,,"Minnesota Vikings",MIN,"DST",8170,,"Saquon Barkley",PHI,"RB",17240,,"Jake Bates",DET,"K",26075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chase Brown",CIN,"RB",25324,,"Patrick Mahomes II",KC,"QB",16413,,"Kyren Williams",LAR,"RB",23059,,"DeVonta Smith",PHI,"WR",19222,,"Isaiah Likely",NYG,"TE",23781,,"New Orleans Saints",NO,"DST",8190,,"Chase Brown",CIN,"RB",25324,,"Harrison Mevis",LAR,"K",26638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kenneth Walker III",KC,"RB",23021,,"Kyler Murray",MIN,"QB",18600,,"Javonte Williams",DAL,"RB",22739,,"Rashee Rice",KC,"WR",23113,,"Mark Andrews",BAL,"TE",17269,,"Dallas Cowboys",DAL,"DST",8080,,"Kenneth Walker III",KC,"RB",23021,,"Evan McPherson",CIN,"K",23297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A.J. Brown",NE,"WR",18218,,"Jared Goff",DET,"QB",15501,,"Jeremiyah Love",ARI,"RB",25403,,"Zay Flowers",BAL,"WR",22916,,"Juwan Johnson",NO,"TE",19562,,"Cleveland Browns",CLE,"DST",8070,,"A.J. Brown",NE,"WR",18218,,"Tyler Loop",BAL,"K",27534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derrick Henry",BAL,"RB",15514,,"Matthew Stafford",LAR,"QB",9451,,"Breece Hall",NYJ,"RB",22982,,"Tee Higgins",CIN,"WR",19211,,"Jake Ferguson",DAL,"TE",22718,,"Carolina Panthers",CAR,"DST",8040,,"Derrick Henry",BAL,"RB",15514,,"Cairo Santos",CHI,"K",13731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omarion Hampton",LAC,"RB",25395,,"Jaxson Dart",NYG,"QB",23160,,"Travis Etienne Jr.",NO,"RB",19231,,"Jaylen Waddle",DEN,"WR",19790,,"Hunter Henry",NE,"TE",15561,,"Los Angeles Chargers",LAC,"DST",8250,,"Omarion Hampton",LAC,"RB",25395,,"Andy Borregales",NE,"K",27291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drake London",ATL,"WR",23163,,"Jordan Love",GB,"QB",19246,,"D'Andre Swift",CHI,"RB",19210,,"Ladd McConkey",LAC,"WR",26122,,"Brenton Strange",JAC,"TE",25345,,"Cincinnati Bengals",CIN,"DST",8060,,"Drake London",ATL,"WR",23163,,"Chris Boswell",PIT,"K",13029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nico Collins",HOU,"WR",20130,,"Malik Willis",MIA,"QB",23499,,"Bucky Irving",TB,"RB",25981,,"Garrett Wilson",NYJ,"WR",23072,,"Dalton Schultz",HOU,"TE",17349,,"Chicago Bears",CHI,"DST",8050,,"Nico Collins",HOU,"WR",20130,,"Blake Grupe",NYJ,"K",25533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock Bowers",LV,"TE",22955,,"Baker Mayfield",TB,"QB",17237,,"Cam Skattebo",NYG,"RB",27166,,"Emeka Egbuka",TB,"WR",23062,,"Chig Okonkwo",WAS,"TE",23982,,"Buffalo Bills",BUF,"DST",8030,,"Brock Bowers",LV,"TE",22955,,"Harrison Butker",KC,"K",16712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
